altitude_km,ozone_ppm
1.1732365715542414,0.06975495296641776
6.718346253229981,0.053529843366191376
10.582220023090882,0.16815931252128954
12.259790716000525,0.3972009039968307
13.718547840269766,0.6490075967318012
14.520864258617847,0.935257166012018
15.724338886139991,1.1869062769588727
16.49018637638133,1.4801029519265818
17.365440650942887,1.7942760140608656
18.021881356864046,2.1292228582055768
19.115949200065984,2.4644398425584857
19.991203474627522,2.7995217568072954
21.085271317829466,3.134738741160205
21.741712023750626,3.469685585304916
22.726373082632364,3.7839261824912485
23.601627357193923,4.08764481856827
24.586288416075657,4.380976563640078
25.4615426906372,4.674240773659837
26.227390180878558,4.967437448627544
26.993237671119914,5.260634123595254
27.868491945681466,5.543443907557749
28.816684076456472,5.843722758317047
29.728407279124752,6.088222158420264
30.38484798504591,6.360442446221397
31.515384756354575,6.639925003286253
32.13535653416901,6.884244309917335
33.28055418109841,7.127793354958127
34.26411567430864,7.387370809517893
35.405403754405896,7.659890385821606
36.821705426356594,7.380754139152073
37.46770025839794,7.072510926085432
37.933916103139275,6.741461702874278
38.59035680906042,6.4073252793541595
38.80917037770081,6.15655412408395
39.46561108362198,5.906053109021936
39.684424652262365,5.634373101637199
40.34086535818352,5.3838720865751855
40.7784924954643,5.133236001409074
40.997306064104684,4.882464846138863
41.43493320138546,4.6527376130872735
42.4195942602672,4.350167072895095
43.185441750508566,3.9847349062552393
44.06069602507011,3.692551257068273
45.081826012058585,3.400457654617372
46.63175545659466,3.0825544064415538
47.78052669195668,2.8480389381996583
48.874594535158614,2.618716915460368
50.66886579800979,2.375190920574028
52.266204849084616,2.1189980513252817
54.01671339820771,1.874399599812395
56.13920501401947,1.6258489970535714
58.50239155533565,1.3387655949973836
61.30320523393261,1.135587741607497
64.56665331479779,0.9153709875428128
68.2170542635659,0.7211216384342998
71.92295709861274,0.5525135143634725
76.88273132112816,0.3726226473876151
83.11891802737921,0.2248829675241243
88.69866402770907,0.13423742066328248
92.24806201550388,0.09398028519475564
95.91951179284183,0.06551375169770901
99.74160206718345,0.03687753214023659
